# Explicit integer Druzkowski matrix A (one-based sparse COO)
# dimension	212
# nonzeros	5415
# row	column	value
1	11	12
1	12	12
1	34	12
1	35	12
1	62	24
1	121	-6
1	122	-6
1	123	-6
1	124	-6
1	148	-24
1	149	-24
1	150	-24
1	151	48
1	152	-24
1	153	-24
1	154	48
1	212	144
2	11	12
2	12	12
2	36	12
2	37	12
2	62	24
2	121	-6
2	122	-6
2	123	-6
2	124	-6
2	148	-24
2	149	-24
2	150	-24
2	151	48
2	152	24
2	153	24
2	154	-48
2	212	-144
3	11	12
3	12	12
3	34	12
3	35	12
3	62	24
3	121	-6
3	122	-6
3	123	-6
3	124	-6
3	148	-24
3	149	-24
3	150	-24
3	151	48
3	152	-24
3	153	-24
3	154	48
3	212	-144
4	11	12
4	12	12
4	36	12
4	37	12
4	62	24
4	121	-6
4	122	-6
4	123	-6
4	124	-6
4	148	-24
4	149	-24
4	150	-24
4	151	48
4	152	24
4	153	24
4	154	-48
4	212	144
5	8	12
5	9	-12
5	10	-24
5	11	-36
5	12	36
5	13	72
5	14	-6
5	15	-6
5	16	6
5	17	6
5	212	144
6	8	12
6	9	-12
6	10	-24
6	11	-36
6	12	36
6	13	72
6	14	-6
6	15	-6
6	16	6
6	17	6
6	212	-144
7	8	12
7	9	-12
7	10	-24
7	11	-36
7	12	36
7	13	72
7	14	-6
7	15	-6
7	16	6
7	17	6
8	1	-6
8	2	-6
8	3	6
8	4	6
8	5	-24
8	6	-24
8	7	48
8	34	6
8	35	6
8	36	-6
8	37	-6
8	152	-24
8	153	-24
8	154	48
9	1	-6
9	2	-6
9	3	6
9	4	6
9	5	-24
9	6	-24
9	7	48
9	34	-6
9	35	-6
9	36	6
9	37	6
9	152	24
9	153	24
9	154	-48
10	34	6
10	35	6
10	36	-6
10	37	-6
10	152	-24
10	153	-24
10	154	48
11	1	-6
11	2	-6
11	3	6
11	4	6
11	5	-24
11	6	-24
11	7	48
11	18	-6
11	19	-6
11	20	6
11	21	6
11	22	-6
11	23	-6
11	24	6
11	25	6
11	26	-6
11	27	-6
11	28	6
11	29	6
11	30	-12
11	31	-12
11	32	12
11	33	12
11	34	18
11	35	18
11	36	-18
11	37	-18
11	38	-24
11	39	-24
11	40	48
12	1	-6
12	2	-6
12	3	6
12	4	6
12	5	-24
12	6	-24
12	7	48
12	18	6
12	19	6
12	20	-6
12	21	-6
12	22	6
12	23	6
12	24	-6
12	25	-6
12	26	6
12	27	6
12	28	-6
12	29	-6
12	30	12
12	31	12
12	32	-12
12	33	-12
12	34	-18
12	35	-18
12	36	18
12	37	18
12	38	24
12	39	24
12	40	-48
13	18	-6
13	19	-6
13	20	6
13	21	6
13	22	-6
13	23	-6
13	24	6
13	25	6
13	26	-6
13	27	-6
13	28	6
13	29	6
13	30	-12
13	31	-12
13	32	12
13	33	12
13	34	18
13	35	18
13	36	-18
13	37	-18
13	38	-24
13	39	-24
13	40	48
14	1	-6
14	2	-6
14	3	6
14	4	6
14	5	-24
14	6	-24
14	7	48
14	11	12
14	12	12
14	34	6
14	35	6
14	36	6
14	37	6
14	60	96
14	61	-96
14	62	-168
14	63	-6
14	64	-6
14	65	6
14	66	6
14	67	-6
14	68	-6
14	69	6
14	70	6
14	71	-6
14	72	-6
14	73	6
14	74	6
14	75	-6
14	76	-6
14	77	6
14	78	6
14	79	-6
14	80	-6
14	81	6
14	82	6
14	83	-42
14	84	-42
14	85	42
14	86	42
14	87	-24
14	88	-24
14	89	48
14	121	-6
14	122	-6
14	123	-6
14	124	-6
14	148	-24
14	149	-24
14	150	-24
14	151	48
14	212	-36
15	1	-6
15	2	-6
15	3	6
15	4	6
15	5	-24
15	6	-24
15	7	48
15	11	-12
15	12	-12
15	34	-6
15	35	-6
15	36	-6
15	37	-6
15	60	-96
15	61	96
15	62	168
15	63	6
15	64	6
15	65	-6
15	66	-6
15	67	6
15	68	6
15	69	-6
15	70	-6
15	71	6
15	72	6
15	73	-6
15	74	-6
15	75	6
15	76	6
15	77	-6
15	78	-6
15	79	6
15	80	6
15	81	-6
15	82	-6
15	83	42
15	84	42
15	85	-42
15	86	-42
15	87	24
15	88	24
15	89	-48
15	121	6
15	122	6
15	123	6
15	124	6
15	148	24
15	149	24
15	150	24
15	151	-48
15	212	36
16	1	-6
16	2	-6
16	3	6
16	4	6
16	5	-24
16	6	-24
16	7	48
16	11	-12
16	12	-12
16	34	-6
16	35	-6
16	36	-6
16	37	-6
16	60	96
16	61	-96
16	62	-216
16	63	-6
16	64	-6
16	65	6
16	66	6
16	67	-6
16	68	-6
16	69	6
16	70	6
16	71	-6
16	72	-6
16	73	6
16	74	6
16	75	-6
16	76	-6
16	77	6
16	78	6
16	79	-6
16	80	-6
16	81	6
16	82	6
16	83	-42
16	84	-42
16	85	42
16	86	42
16	87	-24
16	88	-24
16	89	48
16	121	6
16	122	6
16	123	6
16	124	6
16	148	24
16	149	24
16	150	24
16	151	-48
16	212	-36
17	1	-6
17	2	-6
17	3	6
17	4	6
17	5	-24
17	6	-24
17	7	48
17	11	12
17	12	12
17	34	6
17	35	6
17	36	6
17	37	6
17	60	-96
17	61	96
17	62	216
17	63	6
17	64	6
17	65	-6
17	66	-6
17	67	6
17	68	6
17	69	-6
17	70	-6
17	71	6
17	72	6
17	73	-6
17	74	-6
17	75	6
17	76	6
17	77	-6
17	78	-6
17	79	6
17	80	6
17	81	-6
17	82	-6
17	83	42
17	84	42
17	85	-42
17	86	-42
17	87	24
17	88	24
17	89	-48
17	121	-6
17	122	-6
17	123	-6
17	124	-6
17	148	-24
17	149	-24
17	150	-24
17	151	48
17	212	36
18	11	60
18	12	60
18	26	-6
18	27	6
18	28	6
18	29	-6
18	30	6
18	31	-6
18	32	-6
18	33	6
18	34	24
18	35	36
18	36	36
18	37	24
18	60	-12
18	61	12
18	62	144
18	121	-30
18	122	-30
18	123	-30
18	124	-30
18	148	-120
18	164	-24
18	165	-24
18	166	48
18	167	12
18	169	-12
18	170	-24
18	171	-24
18	172	48
18	212	144
19	11	84
19	12	84
19	26	6
19	27	-6
19	28	-6
19	29	6
19	30	-6
19	31	6
19	32	6
19	33	-6
19	34	48
19	35	36
19	36	36
19	37	48
19	60	12
19	61	-12
19	62	144
19	121	-42
19	122	-42
19	123	-42
19	124	-42
19	148	-168
19	164	-24
19	165	-24
19	166	48
19	167	-12
19	169	12
19	170	24
19	171	24
19	172	-48
19	212	-144
20	11	60
20	12	60
20	26	-6
20	27	6
20	28	6
20	29	-6
20	30	6
20	31	-6
20	32	-6
20	33	6
20	34	24
20	35	36
20	36	36
20	37	24
20	60	-12
20	61	12
20	62	144
20	121	-30
20	122	-30
20	123	-30
20	124	-30
20	148	-120
20	164	-24
20	165	-24
20	166	48
20	167	12
20	169	-12
20	170	-24
20	171	-24
20	172	48
20	212	-144
21	11	84
21	12	84
21	26	6
21	27	-6
21	28	-6
21	29	6
21	30	-6
21	31	6
21	32	6
21	33	-6
21	34	48
21	35	36
21	36	36
21	37	48
21	60	12
21	61	-12
21	62	144
21	121	-42
21	122	-42
21	123	-42
21	124	-42
21	148	-168
21	164	-24
21	165	-24
21	166	48
21	167	-12
21	169	12
21	170	24
21	171	24
21	172	-48
21	212	144
22	11	24
22	13	-24
22	30	6
22	31	6
22	32	-6
22	33	-6
22	47	-24
22	60	24
22	62	-24
22	148	24
22	173	-24
22	174	-24
22	175	-24
22	176	48
22	177	-24
22	178	-24
22	179	48
22	212	144
23	11	24
23	13	-24
23	30	-6
23	31	-6
23	32	6
23	33	6
23	47	-24
23	60	24
23	62	-24
23	148	24
23	173	-24
23	174	-24
23	175	-24
23	176	48
23	177	24
23	178	24
23	179	-48
23	212	-144
24	11	24
24	13	-24
24	30	6
24	31	6
24	32	-6
24	33	-6
24	47	-24
24	60	24
24	62	-24
24	148	24
24	173	-24
24	174	-24
24	175	-24
24	176	48
24	177	-24
24	178	-24
24	179	48
24	212	-144
25	11	24
25	13	-24
25	30	-6
25	31	-6
25	32	6
25	33	6
25	47	-24
25	60	24
25	62	-24
25	148	24
25	173	-24
25	174	-24
25	175	-24
25	176	48
25	177	24
25	178	24
25	179	-48
25	212	144
26	60	-120
26	61	120
26	62	240
26	63	12
26	64	12
26	65	-12
26	66	-12
26	67	12
26	68	12
26	69	-12
26	70	-12
26	71	12
26	72	12
26	73	-12
26	74	-12
26	75	12
26	76	12
26	77	-12
26	78	-12
26	79	12
26	80	12
26	81	-12
26	82	-12
26	83	84
26	84	84
26	85	-84
26	86	-84
26	142	-24
26	143	-24
26	144	48
26	145	-24
26	146	-24
26	147	48
26	212	216
27	60	120
27	61	-120
27	62	-240
27	63	-12
27	64	-12
27	65	12
27	66	12
27	67	-12
27	68	-12
27	69	12
27	70	12
27	71	-12
27	72	-12
27	73	12
27	74	12
27	75	-12
27	76	-12
27	77	12
27	78	12
27	79	-12
27	80	-12
27	81	12
27	82	12
27	83	-84
27	84	-84
27	85	84
27	86	84
27	142	-24
27	143	-24
27	144	48
27	145	24
27	146	24
27	147	-48
27	212	-216
28	60	-120
28	61	120
28	62	240
28	63	12
28	64	12
28	65	-12
28	66	-12
28	67	12
28	68	12
28	69	-12
28	70	-12
28	71	12
28	72	12
28	73	-12
28	74	-12
28	75	12
28	76	12
28	77	-12
28	78	-12
28	79	12
28	80	12
28	81	-12
28	82	-12
28	83	84
28	84	84
28	85	-84
28	86	-84
28	142	-24
28	143	-24
28	144	48
28	145	-24
28	146	-24
28	147	48
28	212	-72
29	60	120
29	61	-120
29	62	-240
29	63	-12
29	64	-12
29	65	12
29	66	12
29	67	-12
29	68	-12
29	69	12
29	70	12
29	71	-12
29	72	-12
29	73	12
29	74	12
29	75	-12
29	76	-12
29	77	12
29	78	12
29	79	-12
29	80	-12
29	81	12
29	82	12
29	83	-84
29	84	-84
29	85	84
29	86	84
29	142	-24
29	143	-24
29	144	48
29	145	24
29	146	24
29	147	-48
29	212	72
30	60	96
30	61	-96
30	62	-192
30	63	-6
30	64	-6
30	65	6
30	66	6
30	67	-6
30	68	-6
30	69	6
30	70	6
30	71	-6
30	72	-6
30	73	6
30	74	6
30	75	-6
30	76	-6
30	77	6
30	78	6
30	79	-6
30	80	-6
30	81	6
30	82	6
30	83	-42
30	84	-42
30	85	42
30	86	42
30	87	-24
30	88	-24
30	89	48
30	142	-24
30	143	-24
30	144	48
30	212	108
31	60	96
31	61	-96
31	62	-192
31	63	-6
31	64	-6
31	65	6
31	66	6
31	67	-6
31	68	-6
31	69	6
31	70	6
31	71	-6
31	72	-6
31	73	6
31	74	6
31	75	-6
31	76	-6
31	77	6
31	78	6
31	79	-6
31	80	-6
31	81	6
31	82	6
31	83	-42
31	84	-42
31	85	42
31	86	42
31	87	-24
31	88	-24
31	89	48
31	142	24
31	143	24
31	144	-48
31	212	-180
32	60	96
32	61	-96
32	62	-192
32	63	-6
32	64	-6
32	65	6
32	66	6
32	67	-6
32	68	-6
32	69	6
32	70	6
32	71	-6
32	72	-6
32	73	6
32	74	6
32	75	-6
32	76	-6
32	77	6
32	78	6
32	79	-6
32	80	-6
32	81	6
32	82	6
32	83	-42
32	84	-42
32	85	42
32	86	42
32	87	-24
32	88	-24
32	89	48
32	142	-24
32	143	-24
32	144	48
32	212	-180
33	60	96
33	61	-96
33	62	-192
33	63	-6
33	64	-6
33	65	6
33	66	6
33	67	-6
33	68	-6
33	69	6
33	70	6
33	71	-6
33	72	-6
33	73	6
33	74	6
33	75	-6
33	76	-6
33	77	6
33	78	6
33	79	-6
33	80	-6
33	81	6
33	82	6
33	83	-42
33	84	-42
33	85	42
33	86	42
33	87	-24
33	88	-24
33	89	48
33	142	24
33	143	24
33	144	-48
33	212	108
34	1	-6
34	2	-6
34	3	6
34	4	6
34	5	-24
34	6	-24
34	7	48
34	60	96
34	61	-96
34	62	-192
34	63	-6
34	64	-6
34	65	6
34	66	6
34	67	-6
34	68	-6
34	69	6
34	70	6
34	71	-6
34	72	-6
34	73	6
34	74	6
34	75	-6
34	76	-6
34	77	6
34	78	6
34	79	-6
34	80	-6
34	81	6
34	82	6
34	83	-42
34	84	-42
34	85	42
34	86	42
34	87	-24
34	88	-24
34	89	48
34	212	108
35	1	-6
35	2	-6
35	3	6
35	4	6
35	5	-24
35	6	-24
35	7	48
35	60	-96
35	61	96
35	62	192
35	63	6
35	64	6
35	65	-6
35	66	-6
35	67	6
35	68	6
35	69	-6
35	70	-6
35	71	6
35	72	6
35	73	-6
35	74	-6
35	75	6
35	76	6
35	77	-6
35	78	-6
35	79	6
35	80	6
35	81	-6
35	82	-6
35	83	42
35	84	42
35	85	-42
35	86	-42
35	87	24
35	88	24
35	89	-48
35	212	-108
36	1	-6
36	2	-6
36	3	6
36	4	6
36	5	-24
36	6	-24
36	7	48
36	60	96
36	61	-96
36	62	-192
36	63	-6
36	64	-6
36	65	6
36	66	6
36	67	-6
36	68	-6
36	69	6
36	70	6
36	71	-6
36	72	-6
36	73	6
36	74	6
36	75	-6
36	76	-6
36	77	6
36	78	6
